X,Y,fid,P20_001,P20_002,P20_003,P20_004,P20_005,P20_006,P20_007,P20_008,P20_009,P20_010,P20_011,P20_012,レベル,備考,緯度,経度,NO
133.92067738,34.6603927204,"1","33101",アイステージ幸町,岡山県岡山市北区幸町10-110,避難所,"-1","-1","0","0","0","0","0","1","3",,34.6603927204,133.92067738,"1"
133.920567454,34.66070552,"2","33101",コナミスポーツクラブ岡山,岡山県岡山市北区幸町10-110,避難所,"-1","-1","0","0","0","0","0","1","3",,34.66070552,133.920567454,"2"
133.909501,34.867098,"3","33101",ゼンセン中央教育センター,岡山県岡山市北区建部町福渡1188,避難所,"-1","200","0","0","0","0","0","1","3",,34.867098,133.909501,"3"
133.921171,34.641139,"4","33101",マックスバリュ奥田南店,岡山県岡山市北区奥田南町7-11,避難所,"-1","-1","0","0","0","0","0","1","3",,34.641139,133.921171,"4"
133.880103082,34.6781529933,"5","33101",マックスバリュ岡山一宮店,岡山県岡山市北区楢津574-1,避難所,"-1","-1","0","0","0","0","0","1","3",,34.6781529933,133.880103082,"5"
133.921001,34.661072,"6","33101",まどか西川緑道公園,岡山県岡山市北区幸町10-110,避難所,"-1","-1","0","0","0","0","0","1","1",,34.661072,133.921001,"6"
133.959615,34.762722,"7","33101",ラポート牧山（旧牧山分校）,岡山県岡山市北区中牧457,避難所,"-1","598","0","0","0","0","0","1","1",,34.762722,133.959615,"7"
133.927914,34.676152,"8","33101",旭公民館,岡山県岡山市北区広瀬町3-26,避難所,"-1","843","0","0","0","0","0","1","1",,34.676152,133.927914,"8"
133.910813,34.676423,"9","33101",伊島小学校,岡山県岡山市北区伊島町一丁目6-6,避難所,"8718","9969","0","0","0","0","0","1","1",,34.676423,133.910813,"9"
133.867116,34.676811,"10","33101",一宮公民館,岡山県岡山市北区一宮638-1,避難所,"-1","702","0","0","0","0","0","1","1",,34.676811,133.867116,"10"
133.922728,34.781896,"11","33101",宇垣コミュニティセンター,岡山県岡山市北区御津宇垣1850,避難所,"-1","349","0","0","0","0","0","1","1",,34.781896,133.922728,"11"
133.919114,34.781968,"12","33101",宇垣保育園,岡山県岡山市北区御津宇垣1889,避難所,"-1","-1","0","0","0","0","0","1","1",,34.781968,133.919114,"12"
133.93560105,34.66393734,"13","33101",烏城公園一帯,岡山県岡山市北区丸の内,広域避難場所,"105000","42100","0","0","0","0","0","1","1",,34.66393734,133.93560105,"13"
133.903868,34.706531,"14","33101",横井小学校,岡山県岡山市北区横井上178,避難所,"12855","14038","0","0","0","0","0","1","1",,34.706531,133.903868,"14"
133.928272382,34.6441205577,"15","33101",岡輝公民館,岡山県岡山市北区旭本町157-1,避難所,"-1","945","0","0","0","0","0","1","4",,34.6441205577,133.928272382,"15"
133.922869,34.648205,"16","33101",岡輝中学校,岡山県岡山市北区岡町12-17,避難所,"8854","10092","0","0","0","0","0","1","1",,34.648205,133.922869,"16"
133.9169132,34.6794365,"17","33101",岡山県総合グラウンド,岡山県岡山市北区いずみ町,広域避難場所,"290000","59800","0","0","0","0","0","1","1",,34.6794365,133.9169132,"17"
133.93146754,34.6653037829,"18","33101",岡山後楽館中学校・高等学校,岡山県岡山市北区丸の内一丁目2-12(旧内山下小学校体育館),避難所,"7015","8328","0","0","0","0","0","1","3",,34.6653037829,133.93146754,"18"
133.930089,34.6668969991,"19","33101",岡山後楽館中学校・高等学校,岡山県岡山市北区天神町9-24,避難所,"1654","-1","0","0","0","0","0","1","1",,34.6668969991,133.930089,"19"
133.923529,34.6718584899,"20","33101",岡山後楽館中学校・高等学校（新校舎）,岡山県岡山市北区南方一丁目3-15(旧中央北小学校跡地）,避難所,"12698","19127","0","0","0","0","0","1","3",,34.6718584899,133.923529,"20"
133.911708,34.677193,"21","33101",岡山市伊島コミュニティハウス,岡山県岡山市北区伊島町一丁目9-15,避難所,"-1","212","0","0","0","0","0","1","1",,34.677193,133.911708,"21"
133.857171,34.822489,"22","33101",岡山市宇甘西地区コミュニティハウス,岡山県岡山市北区御津紙工2568,避難所,"-1","152","0","0","0","0","0","1","1",,34.822489,133.857171,"22"
133.895163,34.8098459991,"23","33101",岡山市宇甘東地区コミュニティハウス,岡山県岡山市北区御津高津1630,避難所,"-1","292","0","0","0","0","0","1","1",,34.8098459991,133.895163,"23"
133.903344,34.710389,"24","33101",岡山市横井コミュニティハウス,岡山県岡山市北区田益1575-7,避難所,"-1","210","0","0","0","0","0","1","1",,34.710389,133.903344,"24"
